	polarity	text	category	aspect term
0	 positive	This computer is absolutely AMAZING!!!	 laptop	null
1	 positive	10 plus hours of battery...	 battery	;battery
2	 positive positive	super fast processor and really nice graphics card..	 hardware graphics	;processor;graphics card
3	 positive positive	and plenty of storage with 250 gb(though I will upgrade this and the ram..)	 harddisk memory	;storage;250 gb;ram
4	 positive positive	This computer is really fast and I'm shocked as to how easy it is to get used to...	 laptop laptop	null
5	 positive	I've only had mine a day but I'm already used to it...	 laptop	null
6	 positive positive	GET THIS COMPUTER FOR PORTABILITY AND FAST PROCESSING!!!	 weight hardware	;portability;processing
7	 positive positive	the laptop was really good and it goes really fast just the way i thought it would of run.	 laptop laptop	null
8	 positive	i would really recommend to any person out there to get this laptop cause its really worth it.	 laptop	null
9	 positive positive	and its really cheap and you wont regret buying it.	 price laptop	null
10	 positive positive positive	As a computer science student in college, I find that the portability, longevity, and ease of use of this computer make me (shockingly) want to do homework more;	 weight laptop laptop	;portability;longevity;use
11	 positive positive positive	without a big ol' clunky machine in my backpack, I feel like I can do programming homework anywhere.	 laptop weight laptop	null
12	 positive positive	I highly recommend this computer for students looking for a solid machine to get them through college.	 laptop laptop	null
13	 positive	A great feature is the spotlight search: one can search for documents by simply typing a keyword, rather than parsing tens of file folders for a document.	 os	;feature
14	 negative	Oh my goodness-I am not a happy camper.	 laptop	null
15	 negative	My HP is very heavy.	 laptop	null
16	 negative	Not easy to carry.	 weight	;carry
17	 negative negative	The battery has never worked well.	 battery battery	;battery;worked
18	 negative	The battery gets so HOT it is scary.	 battery	;battery
19	 negative	Yet, HP won't do anything about the problem.	 service	null
20	 negative	I returned the computer to HP and they kept it for 3 months.	 service	null
21	 negative	When I got the computer back and realizwed it still was not correct HP told me it was out of warranty and now it was my problem.	 service	;warranty
22	 negative	So, you can imagine how unhappy I am with this item.	 laptop	null
23	 negative	Currently if I use the laptop I can't sit it on my lap because it will burn my legs.	 laptop	;legs
24	 negative	Well, they don't care a bunch.	 service	null
25	 negative	But, at the same time they (the company) would not and could not do anything about my problem.	 service	null
26	 negative	I would  say if you want to buy one of these machines be careful.	 laptop	null
27	 negative	And, if you are going to deal with HP be careful.	 laptop	null
28	 negative	In my house, HP is a nasty word.	 laptop	null
29	 positive	Since I purchased my Toshiba netbook, I have been very pleased with it, I have a laptop and a desktop.	 laptop	null
30	 positive	The netbook is easier for me to take to bed and carry around with me.	 weight	null
31	 neutral neutral	The screen takes some getting use to, because it is smaller than the laptop.	 display display	;screen
32	 positive	I have not have any problems.	 laptop	null
33	 positive	The Notebook PC,Toshiba Qosmio is the best gift my father could have ever gotten me.	 laptop	null
34	 positive	He gave me this PC about 3 years ago and up to this point im still sitting here using it.	 laptop	null
35	 positive	Its still going.	 laptop	null
36	 positive	It is in the best condition and has a really high quality.	 laptop	;quality
37	 positive	This is something i would deffinately reccomend to someone.	 laptop	null
38	 positive	You will not regret buying such a great thing like this!	 laptop	null
39	 positive	It can't get any better.	 laptop	null
40	 positive	Waited on getting this computer, but it has been a great change.	 laptop	null
41	 positive	Ease of use is just one of the benefits I love about my Mac.	 laptop	;use
42	 positive positive	This laptop meets every expectation and Windows 7 is great!	 laptop os	;windows 7
43	 positive positive positive	It's fast, it's easy easy easy to set up, easy to hook to my wireless network.	 laptop laptop laptop	;set;hook;wireless network
44	 positive	It's even easy to hook up to other wireless networks.	 laptop	;hook up;wireless networks
45	 neutral	The battery doesn't last long but I'm sure an upgrade battery would solve that problem.	 battery	;battery;battery
46	 positive	I don't use my laptop in a way though that needs a long battery life so it's perfect for me.	 battery	;battery life
47	 positive positive positive positive	Most everything is fine with this machine: speed, capacity, build.	 laptop laptop harddisk laptop	;speed;capacity;build
48	 negative	The only thing I don't understand is that the resolution of the screen isn't high enough for some pages, such as Yahoo!Mail.	 display	;resolution of the screen;yahoo
