	aspect term	text
0	;cord;battery life	I charge it at night and skip taking the cord with me because of the good battery life.
1	";service center;""sales"" team;tech guy"	"The tech guy then said the service center does not do 1-to-1 exchange and I have to direct my concern to the ""sales"" team, which is the retail shop which I bought my netbook from."
2	;quality;gui;applications;use	it is of high quality, has a killer GUI, is extremely stable, is highly expandable, is bundled with lots of very good applications, is easy to use, and is absolutely gorgeous.
3	;start up	Easy to start up and does not overheat as much as other laptops.
4	;features;ichat;photobooth;garage band	I even got my teenage son one, because of the features that it offers, like, iChat, Photobooth, garage band and more!
5	;features	Great laptop that offers many great features!
6	;gui;screen;power light;hard drive ligh	 One night I turned the freaking thing off after using it, the next day I turn it on, no GUI, screen all dark, power light steady, hard drive light steady and not flashing as it usually does.
7	;processor;graphics cards;battery life	"My only disappointment with the 13"" model is that they're the only ones in the MacBook Pro line up without an i5 or i7 processor and dual graphics cards, however the trade-off is that you achieve a longer battery life (of about 2 more hours)."
8	;battery	I took it back for an Asus and same thing- blue screen which required me to remove the battery to reset.
9	;rubber enclosure;edge	In the shop, these MacBooks are encased in a soft rubber enclosure - so you will never know about the razor edge until you buy it, get it home, break the seal and use it (very clever con).
10	;multi-touch gestures;tracking area;external mouse;gaming	However, the multi-touch gestures and large tracking area make having an external mouse unnecessary (unless you're gaming).
11	;suite of software	I love the way the entire suite of software works together.
12	;speed	The speed is incredible and I am more than satisfied.
13	;windows 7	This laptop meets every expectation and Windows 7 is great!
14	;usb devices	I can barely use any usb devices because they will not stay connected properly.
15	;keyboard	-No backlit keyboard, but not an issue for me.
16	;software;system	When I finally had everything running with all my software installed I plugged in my droid to recharge and the system crashed.
17	;microsoft office for the mac	One suggestion I do have, is to not bother getting Microsoft office for the mac expecting it will work just like you knew it to on a PC.
18	;syncing	Pairing it with an iPhone is a pure pleasure - talk about painless syncing - used to take me forever - now it's a snap.
19	";30"" hd monitor;screen"	"I also got the added bonus of a 30"" HD Monitor, which really helps to extend my screen and keep my eyes fresh!"
20	;boot up	The machine is slow to boot up and occasionally crashes completely.
21	;service	After paying several hundred dollars for this service, it is frustrating that you cannot get help after hours.
22	;battery	I did have to replace the battery once, but that was only a couple months ago and it's been working perfect ever since.
23	;operating system;preloaded software	I love the operating system and the preloaded software.
24	;price;features	The best thing about this laptop is the price along with some of the newer features.
25	;clock in bios setup	After numerous attempts of trying (including setting the clock in BIOS setup directly), I gave up(I am a techie).
26	;warranty service	YOU WILL NOT BE ABLE TO TALK TO AN AMERICAN WARRANTY SERVICE IS OUT OF COUNTRY.
27	;brand	but now i have realized its a problem with this brand.
28	;warranty	I sent it back to Toshiba twice they covered it under the  warranty.
29	;features	I was looking for a mac which is portable and has all the features that I was looking for.
30	;fan	Also kinda loud when the fan was running.
31	;customer service number;warranty;talking to a technician	"In desparation, I called their Customer Service number and was told that my warranty had expired (2 days old) and that the priviledge of talking to a technician would cost me (""have your credit card ready"")."
32	;hard disc;windows;drivers	There also seemed to be a problem with the hard disc as certain times windows loads but claims to not be able to find any drivers or files.
33	;drivers;bios update;system	Drivers updated ok but the BIOS update froze the system up and the computer shut down.
34	;hp technical support	Spent 2 hours on phone with HP Technical Support.
35	;browser	Speaking of the browser, it too has problems.
36	;keyboard	The keyboard is too slick.
37	;virus scan	Nightly my computer defrags itself and runs a virus scan.
38	;9 punds	It's like 9 punds, but if you can look past it, it's GREAT!
39	;program	It's just as fast with one program open as it is with sixteen open.
40	;warrenty	Still under warrenty so called Toshiba, no help at all.
41	;toshiba warranty	I was happy with My purchase of a Toshiba Satellite L305D-S5934 laptop until it came time to have it repaired under the Toshiba Warranty.
42	;quality	Amazing Quality!
43	;webcam;value	The fact that you can spend over $100 on just a webcam underscores the value of this machine.
44	;internet;managing personal files	I mainly use it for email, internet, and managing personal files (pics, vids, etc.).
45	;motherboard	A month or so ago, the freaking motherboard just died.
46	;system	The system it comes with does not work properly, so when trying to fix the problems with it it started not working at all.
47	;charger;hardware	Then after 4 or so months the charger stopped working so I was forced to go out and buy new hardware just to keep this computer running.
48	;force quit	If a website ever freezes (which is rare), its really easy to force quit.
49	;works	It rarely works and when it does it's incredibly slow.
50	;windows 7;vmware program	I also enjoy the fact that my MacBook Pro laptop allows me to run Windows 7 on it by using the VMWare program.
51	;operating system;runs;navigate;find files	It's so much easier to navigate through the operating system, to find files, and it runs a lot faster!
52	;warrenty	Purchased a Toshiba Lap top it worked good until just after the warrenty went out.
53	;extended warranty	I wanted to purchase the extended warranty and they refused, because they knew it was trouble.
54	;memory;speed;performace	We upgraded the memory to four gigabytes in order to take advantage of the performace increase in speed.
55	;opening my documents folder	The reality was, it heated up very quickly, and took way too long to do simple things, like opening my Documents folder.
56	;operating systems	I had always used PCs and been constantly frustrated by the crashing and the poorly designed operating systems that were never very intuitive.
57	;charger	Then, within 5 months, the charger crapped out on me.
58	;speed	And if you have a iphone or ipod touch you can connect and download songs to it at high speed.
59	;glass touchpad	I love the glass touchpad.
60	;hard drive;mother board	  I continued to take the computer in AGAIN and they replaced the hard drive and mother board yet again.
61	;external speaker;sound	I am using the external speaker- sound is good.
62	;battery life	still testing the battery life as i thought it would be better, but am very happy with the upgrade.
63	;hardware	Then HP sends it back to me with the hardware screwed up, not able to connect.
64	;shipping	Oh yeah, don't forget the expensive shipping to and from HP.
65	;mac software;microsoft software;use	Everything is so easy to use, Mac software is just so much simpler than Microsoft software.
66	;delete  key;editing	And if you do a lot of writing, editing is a problem since there is no  forward delete  key.
67	;use;service;phone assistance;genius bar	Its ease of use and the top service from Apple- be it their phone assistance or bellying up to the genius bar- cannot be beat.
68	;battery life;battery life;gaming;movie playing;web browsing;word editing	It has a 10 hour battery life when you're doing web browsing and word editing, making it perfect for the classroom or office, and in terms of gaming and movie playing it'll have a battery life of just over 5 hours.
69	;recovery discs	Acer has set me up with FREE recovery discs, when they are available since I asked.
70	";office max's ""max assurance"""	"I also purchased Office Max's ""Max Assurance"" with the ""no lemon"" clause."
71	;imac backup disc;usb	I eventually did the migration from my iMac backup disc which uses USB.
72	;battery life	The battery life seems to be very good, and have had no issues with it.
73	;battery timer	Enabling the battery timer is useless.
74	;temperatures;core processing unit temperatures	Temperatures on the outside were alright but i did not track in Core Processing Unit temperatures.
75	;service	Going to bring it to service today.
76	;virus protection for mac	There is no need to purchase virus protection for Mac, which saves me a lot of time and money.
77	;bluetooth	But we had paid for bluetooth, and there was none.
78	;lg notebook service center;hinge	So, I paid a visit to LG notebook service center at Alexandra Road, hoping they can make the hinge tighter.
79	;games	My daughter uses it for games, email, facebook, pictures and music.
80	;responds	It is always reliable, never bugged and responds well.
81	;motherboard;motherboard	After about a week I finally got it back and was told that the motherboard had failed and so they installed a new motherboard.
82	;hardware	It was slow, locked up, and also had hardware replaced after only 2 months!
83	;motherboard	they had to replace the motherboard in April
84	;use	Yes, the computer was light weight, less expensive than the average laptop, and was pretty self explantory in use.
85	;representive at microsoft;system;xp	Also, if you need to talk to a representive at Microsoft, there is a charge, which I believe is robbery, since you are charged enormous amounts for a very badly designed system, which most people would have went with XP if they could.
86	;windows 7;vista	I love WIndows 7 which is a vast improvment over Vista.
87	;keyboard	Keyboard is great, very quiet for all the typing that I do.
88	;dell's customer disservice	Dell's customer disservice is an insult to it's customers who pay good money for shoddy products.
89	;cooling system;use	It had a cooling system malfunction after 10 minutes of general use, and would not move past this error.
90	;quad core i7	I can render AVCHD movies with little effort, which was a problem for most pc's unless you had a quad core I7.
91	;sales associate	After talking it over with the very knowledgeable sales associate, I chose the MacBook Pro over the white MacBook.
92	;system;windows applications	If you really want a bang-up system and don't need to run Windows applications, go with an Apple;
93	;virus program	You won't have to spend gobs of money on some inefficient virus program that needs to be updated every month and that constantly drains your wallet.
94	;weighed;seven pounds	It weighed like seven pounds or something like that.
95	;battery	2 months later, the battery went.
96	;bag	You may need to special order a bag.
97	;color	It's color is even cool.
98	;keys;designed	keys are all in weird places and is way too large for the way it is designed.
99	;style;speed	Yes, a Mac is much more money than the average laptop out there, but there is no comparison in style, speed and just cool factor.
100	;keyboard	The keyboard feels good and I type just fine on it.
101	;mousepad	I thought the white Mac computers looked dirty too quicly where you use the mousepad and where you place your hands when typing.
102	;battery	And not to mention after using it for a few months or so, the battery will slowly less and less hold a charge until you can't leave it unplugged for more than 5 minutes without the thing dying.
