aspect term	polarity	text	category
;apple computer	 positive	Well, my first apple computer and I am impressed.	 laptop
;null	 positive	Works well, fast and no reboots.	 laptop
;null	 positive	Glad I did so far.	 company
;null;null	 positive positive	Glad I did so far.	 company laptop
;null	 negative	s.... L .... o..... w....  rea......llllyy  slow.	 laptop
;null	 negative	like seriously  - really slow.	 laptop
;use	 negative	impossible to use.	 laptop
;null	 negative	cant even read properly.	 laptop
;null	 negative	plus - no russian input ??  wtf	 misc
;laptop	 positive	What a great laptop, I can run my games and work really fast.	 laptop
;laptop;laptop	 positive positive	What a great laptop, I can run my games and work really fast.	 laptop misc
;laptop;laptop;laptop	 positive positive positive	What a great laptop, I can run my games and work really fast.	 laptop misc laptop
;null	 positive	Really light you can carry with you everywhere.	 laptop
;null;null	 positive positive	Really light you can carry with you everywhere.	 laptop weight
;battery life	 positive	Great battery life.	 battery
;price	 positive	Everything at a very great price.	 price
;null	 positive	I completely recommend it.	 laptop
;value	 positive	Excellent value and a must buy for someone looking for a Macbook.	 price
;value;macbook	 positive positive	Excellent value and a must buy for someone looking for a Macbook.	 price laptop
;price	 positive	You can't get any better than this price and it come with an internal disk drive.	 price
;price;internal disk drive	 positive positive	You can't get any better than this price and it come with an internal disk drive.	 price laptop
;500gb	 positive	Plus you get 500GB which is also a great feature.	 harddisk
;null	 positive	Also, the resale value on this will keep.	 misc
;null	 positive	I highly recommend you get one before they are gone.	 laptop
;null	 positive	Got this on black friday with a very good discount and couldn't be happier.	 price
;null;null	 positive positive	Got this on black friday with a very good discount and couldn't be happier.	 price laptop
;screen	 positive	The screen is great, I don't see the need for a retina display.	 display
;sd card slot	 positive	I also really like the addition of the SD Card slot.	 laptop
;macbook pro	 positive	This Macbook Pro is AMAZING!	 laptop
;disc player	 positive	If you are afraid of it not having a disc player please don't be.	 laptop
;high retina display	 positive	I love the new high retina display, and because this computer lacks a disc player it makes it significantly lighter.	 display
;high retina display;null	 positive positive	I love the new high retina display, and because this computer lacks a disc player it makes it significantly lighter.	 display laptop
;computer	 positive	Overall, this is a fast, light, practical computer and I highly recommend it.	 laptop
;computer;computer	 positive positive	Overall, this is a fast, light, practical computer and I highly recommend it.	 laptop laptop
;computer;computer;computer	 positive positive positive	Overall, this is a fast, light, practical computer and I highly recommend it.	 laptop laptop laptop
;computer;computer;computer;computer	 positive positive positive positive	Overall, this is a fast, light, practical computer and I highly recommend it.	 laptop laptop laptop laptop
;macbook pro	 positive	I bought my Macbook Pro in October of 2012 and 2 years later it still works as flawless as ever!	 laptop
;macbook pro;macbook pro	 positive positive	I bought my Macbook Pro in October of 2012 and 2 years later it still works as flawless as ever!	 laptop laptop
;computer	 positive	I've never had any problems with the computer itself (The Macbook charger chords are another story, though).	 laptop
;computer;charger chords	 positive negative	I've never had any problems with the computer itself (The Macbook charger chords are another story, though).	 laptop hardware
;apple bandwagon	 positive	I tried not to jump on the Apple bandwagon, but... you're just living in denial if you don't.	 company
;null	 positive	Happy buying!	 company
;laptop	 positive	Bought this laptop from best buy in January 2015.. still loving it.	 laptop
;null	 positive	I can use it as a tablet,as a laptop, as whatever I want to!	 laptop
;sims 4 and 3	 positive	I play Sims 4 and 3 on it all the time, with very little issues.	 misc
;thing	 positive	The thing wakes up super fast and is always ready to go.	 laptop
;music/videos	 positive	Music/videos sound great and look great.	 multimedia
;music/videos;look	 positive positive	Music/videos sound great and look great.	 multimedia display
;null	 positive	I use it everyday.	 laptop
;computer	 positive	My favorite computer I've ever had!	 laptop
;computer	 positive	This computer overall is great!	 laptop
;null	 positive	it runs fast!	 laptop
;null	 positive	ships fast!	 misc
;company	 negative	etc. but the company and seller lied to you and try to make an extra buck!	 company
;null	 positive	I bought this pc to play games and stream movies! it could handle all of that but my friend wanted me to put some music on a cd!	 misc
;disk drive	 negative	I could see the disk drive on the side but it didn't seem to have a button on it?	 hardware
;disk drive	 negative	A DISK DRIVE WITH BUTTONS ON IT!!!!!!	 hardware
;disk drive	 negative	And he said&quot; this computer does not have a disk drive and I was furious!	 laptop
;computer	 negative	So beware buyer, this computer has a useless piece of plastic on it.	 laptop
;asus	 negative	Thank you asus.(they don't deserve to be capitalized)	 company
;computer	 positive	Great computer.	 laptop
;apple product	 positive	Very great Apple product as expected.	 laptop
;apple product;apple product	 positive positive	Very great Apple product as expected.	 laptop company
;battery life	 positive	Good battery life.	 battery
;screen	 positive	Great color on screen.	 display
;speakers	 positive	Good speakers from laptop computer.	 multimedia
;laptop	 positive	My new laptop is great.	 laptop
;speed	 positive	It has so much more speed and the screen is very sharp.	 laptop
;speed;screen	 positive positive	It has so much more speed and the screen is very sharp.	 laptop display
;operating system	 neutral	I have to admit that the operating system is different and does take time to learn but I like it.	 os
;operating system;operating system	 neutral positive	I have to admit that the operating system is different and does take time to learn but I like it.	 os os
;null	 positive	I would recommend it to anyone.	 laptop
;laptop	 positive	This laptop is fine for those applications and basic websurfing.	 misc
;speakers	 neutral	The speakers are fairly basic, so this is probably not the computer to buy if your main aim is streaming music or watching movies.	 multimedia
;speakers;computer	 neutral negative	The speakers are fairly basic, so this is probably not the computer to buy if your main aim is streaming music or watching movies.	 multimedia misc
;touchpad	 negative	The touchpad is a little &quot;clunky&quot; for my taste; I use a small external mouse with laptops  in any event.	 mouse
;keyboard	 positive	I appreciate the relatively large keyboard (with number pad) and screen size.	 keyboard
;keyboard;screen	 positive positive	I appreciate the relatively large keyboard (with number pad) and screen size.	 keyboard display
;track pad	 negative	I also found the track pad irritating until I disabled &quot;pinch zoom.&quot;	 mouse
;laptop	 positive	This is larger laptop, but is not too heavy.	 laptop
;battery life	 positive	Battery life is great - though it is new.	 battery
;laptop	 positive	Overall, a solid laptop for its price.	 laptop
;laptop;price	 positive neutral	Overall, a solid laptop for its price.	 laptop price
;appearance	 positive	However, a few things are immediately occurring to me  I had read the other reviews here on amazon, but decided the specs and appearance looked good enough to go ahead.	 laptop
;null	 neutral	Well, my first impressions are that its OK, it certainly boots up quickly (thanks SSD!), and from the limited use so far (no games) its fast enough in normal usage.	 laptop
;null;null	 neutral positive	Well, my first impressions are that its OK, it certainly boots up quickly (thanks SSD!), and from the limited use so far (no games) its fast enough in normal usage.	 laptop laptop
;null;null;ssd	 neutral positive positive	Well, my first impressions are that its OK, it certainly boots up quickly (thanks SSD!), and from the limited use so far (no games) its fast enough in normal usage.	 laptop laptop harddisk
;fingerprint magnet	 positive	It certainly looks nice, but that nice dark blue top is a fingerprint magnet as others have pointed out.	 laptop
;fingerprint magnet;fingerprint magnet	 positive negative	It certainly looks nice, but that nice dark blue top is a fingerprint magnet as others have pointed out.	 laptop laptop
;touch pad	 negative	Also I have found the touch pad to be awkward to use (could be I am pressing too hard perhaps), and the screen is    well   underwhelming.	 mouse
;touch pad;screen	 negative negative	Also I have found the touch pad to be awkward to use (could be I am pressing too hard perhaps), and the screen is    well   underwhelming.	 mouse display
;null	 negative	To be honest I am a little disappointed and considering returning it.	 laptop
;laptop	 negative	This is a horrible laptop.	 laptop
;null	 negative	Within a day of usage, it already slowed down significantly, virus entered the system right away.	 laptop
;null;system	 negative negative	Within a day of usage, it already slowed down significantly, virus entered the system right away.	 laptop laptop
;null	 negative	It's heavy.	 laptop
;null	 negative	I regretted immediately.	 laptop
;null	 negative	Nothing like the description says.	 laptop
;apple mac book pro	 negative	My Apple mac book pro has crashed three times, since I purchased it.	 laptop
;apple mac book pro;apple mac book pro	 negative negative	My Apple mac book pro has crashed three times, since I purchased it.	 laptop laptop
;apple	 negative	Each time, Apple can only uninstall to original factory settings for me to start over.	 warranty
