	polarity	text	category	aspect term
0	 positive	Well, my first apple computer and I am impressed.	 laptop	null
1	 positive	Works well, fast and no reboots.	 laptop	;works
2	 positive positive	Glad I did so far.	 laptop laptop	null
3	 negative	s.... L .... o..... w....  rea......llllyy  slow.	 laptop	null
4	 negative	like seriously  - really slow.	 laptop	null
5	 negative	impossible to use.	 laptop	;use
6	 negative	cant even read properly.	 laptop	null
7	 negative	plus - no russian input ??  wtf	 laptop	null
8	 positive	What a great laptop, I can run my games and work really fast.	 laptop	;games
9	 positive positive	Really light you can carry with you everywhere.	 laptop weight	null
10	 positive	Great battery life.	 battery	;battery life
11	 positive	Everything at a very great price.	 price	;price
12	 positive	I completely recommend it.	 laptop	null
13	 positive positive	Excellent value and a must buy for someone looking for a Macbook.	 price laptop	;value
14	 positive positive	You can't get any better than this price and it come with an internal disk drive.	 price laptop	;price;internal disk drive
15	 positive	Plus you get 500GB which is also a great feature.	 harddisk	;feature
16	 positive	Also, the resale value on this will keep.	 laptop	;resale value
17	 positive	I highly recommend you get one before they are gone.	 laptop	null
18	 positive positive	Got this on black friday with a very good discount and couldn't be happier.	 price laptop	;discount
19	 positive	The screen is great, I don't see the need for a retina display.	 display	;screen
20	 positive	I also really like the addition of the SD Card slot.	 laptop	;sd card slot
21	 positive	This Macbook Pro is AMAZING!	 laptop	null
22	 positive	If you are afraid of it not having a disc player please don't be.	 laptop	;disc player
23	 positive positive	I love the new high retina display, and because this computer lacks a disc player it makes it significantly lighter.	 display laptop	;disc player
24	 positive	Overall, this is a fast, light, practical computer and I highly recommend it.	 laptop	;light
25	 positive	I bought my Macbook Pro in October of 2012 and 2 years later it still works as flawless as ever!	 laptop	null
26	 positive negative	I've never had any problems with the computer itself (The Macbook charger chords are another story, though).	 laptop hardware	null
27	 positive	I tried not to jump on the Apple bandwagon, but... you're just living in denial if you don't.	 laptop	null
28	 positive	Happy buying!	 laptop	null
29	 positive	Bought this laptop from best buy in January 2015.. still loving it.	 laptop	null
30	 positive	I can use it as a tablet,as a laptop, as whatever I want to!	 laptop	null
